country_name,NAME,mp,result,first_party,second_party,electorate,valid_votes,invalid_votes,majority,constituency_info,Turnout (%)
Scotland,Aberdeen North,Kirsty Blackman,SNP hold,SNP,Labour,62130,36757,55,4139,"Aberdeen North
MP Kirsty Blackman
Result SNP",59.2
Scotland,Aberdeen South,Ross Thomson,Conservative gain from SNP,Conservative,SNP,64964,44493,63,4752,"Aberdeen South
MP Ross Thomson
Result Con",68.5
Scotland,Airdrie and Shotts,Neil Gray,SNP hold,SNP,Labour,64146,38002,47,195,"Airdrie and Shotts
MP Neil Gray
Result SNP",59.2
Scotland,Angus,Kirstene Hair,Conservative gain from SNP,Conservative,SNP,63840,40192,65,2645,"Angus
MP Kirstene Hair
Result Con",63
Scotland,Argyll and Bute,Brendan O'Hara,SNP hold,SNP,Conservative,67230,48069,69,1328,"Argyll and Bute
MP Brendan O'Hara
Result SNP",71.5
Scotland,"Ayr, Carrick and Cumnock",Bill Grant,Conservative gain from SNP,Conservative,SNP,71241,46222,74,2774,"Ayr, Carrick and Cumnock
MP Bill Grant
Result Con",64.9
Scotland,Banff and Buchan,David Duguid,Conservative gain from SNP,Conservative,SNP,67601,41643,46,3693,"Banff and Buchan
MP David Duguid
Result Con",61.6
Scotland,"Berwickshire, Roxburgh and Selkirk",John Lamont,Conservative gain from SNP,Conservative,SNP,73191,52367,96,11060,"Berwickshire, Roxburgh and Selkirk
MP John Lamont
Result Con",71.5
Scotland,"Caithness, Sutherland and Easter Ross",Jamie Stone,Liberal ‏‏‎ Democrat gain from SNP,Liberal Democrat,SNP,46868,30901,35,2044,"Caithness, Sutherland and Easter Ross
MP Jamie Stone
Result LD",65.9
Scotland,Central Ayrshire,Philippa Whitford,SNP hold,SNP,Conservative,68999,45087,75,1267,"Central Ayrshire
MP Philippa Whitford
Result SNP",65.3
Scotland,"Coatbridge, Chryston and Bellshill",Hugh Gaffney,Labour gain from SNP,Labour,SNP,71198,45040,79,1586,"Coatbridge, Chryston and Bellshill
MP Hugh Gaffney
Result Lab",63.3
Scotland,"Cumbernauld, Kilsyth and Kirkintilloch East",Stuart McDonald,SNP hold,SNP,Labour,66554,43833,50,4264,"Cumbernauld, Kilsyth and Kirkintilloch East
MP Stuart McDonald
Result SNP",65.9
Scotland,Dumfries and Galloway,Alister Jack,Conservative gain from SNP,Conservative,SNP,74206,51599,45,5643,"Dumfries and Galloway
MP Alister Jack
Result Con",69.5
Scotland,"Dumfriesshire, Clydesdale and Tweeddale",David Mundell,Conservative hold,Conservative,SNP,67672,48964,60,9441,"Dumfriesshire, Clydesdale and Tweeddale
MP David Mundell
Result Con",72.4
Scotland,Dundee East,Stewart Hosie,SNP hold,SNP,Conservative,65854,42928,57,6645,"Dundee East
MP Stewart Hosie
Result SNP",65.2
Scotland,Dundee West,Chris Law,SNP hold,SNP,Labour,62644,38677,99,5262,"Dundee West
MP Chris Law
Result SNP",61.7
Scotland,Dunfermline and West Fife,Douglas Chapman,SNP hold,SNP,Labour,75672,51010,73,844,"Dunfermline and West Fife
MP Douglas Chapman
Result SNP",67.4
Scotland,East Dunbartonshire,Jo Swinson,Liberal ‏‏‎ Democrat gain from SNP,Liberal Democrat,SNP,66300,51801,68,5339,"East Dunbartonshire
MP Jo Swinson
Result LD",78.1
Scotland,"East Kilbride, Strathaven and Lesmahagow",Lisa Cameron,SNP hold,SNP,Labour,80442,54102,81,3866,"East Kilbride, Strathaven and Lesmahagow
MP Lisa Cameron
Result SNP",67.3
Scotland,East Lothian,Martin Whitfield,Labour gain from SNP,Labour,SNP,79093,55878,57,3083,"East Lothian
MP Martin Whitfield
Result Lab",70.6
Scotland,East Renfrewshire,Paul Masterton,Conservative gain from SNP,Conservative,SNP,70067,53738,67,4712,"East Renfrewshire
MP Paul Masterton
Result Con",76.7
Scotland,Edinburgh East,Tommy Sheppard,SNP hold,SNP,Labour,65896,43523,100,3425,"Edinburgh East
MP Tommy Sheppard
Result SNP",66
Scotland,Edinburgh North and Leith,Deidre Brock,SNP hold,SNP,Labour,79473,56552,72,1625,"Edinburgh North and Leith
MP Deidre Brock
Result SNP",71.2
Scotland,Edinburgh South,Ian Murray,Labour hold,Labour,SNP,64553,47840,73,15514,"Edinburgh South
MP Ian Murray
Result Lab",74.1
Scotland,Edinburgh South West,Joanna Cherry,SNP hold,SNP,Conservative,71178,49390,74,1097,"Edinburgh South West
MP Joanna Cherry
Result SNP",69.4
Scotland,Edinburgh West,Christine Jardine,Liberal ‏‏‎ Democrat gain from SNP,Liberal Democrat,SNP,71500,52795,71,2988,"Edinburgh West
MP Christine Jardine
Result LD",73.8
Scotland,Falkirk,John Mc Nally,SNP hold,SNP,Labour,82240,53809,58,4923,"Falkirk
MP John Mc Nally
Result SNP",65.4
Scotland,Glasgow Central,Alison Thewliss,SNP hold,SNP,Labour,64346,35984,114,2267,"Glasgow Central
MP Alison Thewliss
Result SNP",55.9
Scotland,Glasgow East,David Linden,SNP hold,SNP,Labour,66242,36166,56,75,"Glasgow East
MP David Linden
Result SNP",54.6
Scotland,Glasgow North,Patrick Grady,SNP hold,SNP,Labour,53862,33473,61,1060,"Glasgow North
MP Patrick Grady
Result SNP",62.1
Scotland,Glasgow North East,Paul Sweeney,Labour gain from SNP,Labour,SNP,59931,31775,57,242,"Glasgow North East
MP Paul Sweeney
Result Lab",53
Scotland,Glasgow North West,Carol Monaghan,SNP hold,SNP,Labour,63773,38844,89,2561,"Glasgow North West
MP Carol Monaghan
Result SNP",60.9
Scotland,Glasgow South,Stewart McDonald,SNP hold,SNP,Labour,69126,44550,83,2027,"Glasgow South
MP Stewart McDonald
Result SNP",64.4
Scotland,Glasgow South West,Chris Stephens,SNP hold,SNP,Labour,62991,35378,66,60,"Glasgow South West
MP Chris Stephens
Result SNP",56.2
Scotland,Glenrothes,Peter Grant,SNP hold,SNP,Labour,66378,40399,41,3267,"Glenrothes
MP Peter Grant
Result SNP",60.9
Scotland,Gordon,Colin Clark,Conservative gain from SNP,Conservative,SNP,78531,53685,55,2607,"Gordon
MP Colin Clark
Result Con",68.4
Scotland,Inverclyde,Ronnie Cowan,SNP hold,SNP,Labour,58853,39093,57,384,"Inverclyde
MP Ronnie Cowan
Result SNP",66.4
